Stock;Price;Change;Percent Change;Closing Price;Sector;Industry;Employees;Founded;Website;1-day range;52-week range;Market cap;Market cap clear;P/E ratio;Next earnings date;Dividend yield;Ex-dividend date;Dividend pay date;Number of analysts;Buy Recommendation;Hold Recommendation;Sell Recommendation;Smart Score;Score;High Forecast;High Forecast Percent;Median Forecast;Median Forecast Percent;Low Forecast;Low Forecast Percent;Total revenue Value;Total revenue Change;Net income Value;Net income Change;Earnings per share Value;Earnings per share Change;Net profit margin Value;Net profit margin Change;Free cash flow Value;Free cash flow Change;Debt-to-equity ratio Value;Debt-to-equity ratio Change;Date of record;Time of record;Page Load Time (s);Dynamic Element Load Time (s);Fear & Greed Index;;;;;;;;;;;;;;
MSFT;415.67;- 1.52;-0.36;416.00;Technology Services;Packaged Software;228000;1975;www.microsoft.com;"410.72
419.74";"384.65
468.35";3.09T;3090000000000.0;34.31;Jan 28, 2025;0.67;2025-02-19;2025-03-12;58;0.95;0.05;0.0;8.0;3.1468321023889136;650.0;56.37404671975364;500.0;20.28772824596434;425.0;2.244569009069691;65.58B;6.03%;24.67B;12.43%;3.30;10.54%;37.61%;4.64%;19.26B;8.15%;0.34;29.71%;2025-01-15;08:01:56 UTC;1.89;0.13;27;-1.52;-0.36;-3.28;-0.78;-35.92;-7.95;-38.29;-8.43;-2.91;-0.7;25.4;6.51;248.57;148.76
AMZN;217.76;- 0.70;-0.32;218.19;Retail Trade;Internet Retail;1525000;1994;www.aboutamazon.com;"216.20
221.82";"149.91
233.00";2.29T;2290000000000.0;46.67;Jan 29, 2025;;;;72;0.94;0.04;0.01;10.0;2.3169140337986773;285.0;30.87803085966202;235.0;7.916972814107279;180.0;-17.340191036002935;158.88B;11.04%;15.33B;55.16%;1.43;52.59%;9.65%;39.73%;3.35B;61.65%;0.58;30.70%;2025-01-15;08:01:56 UTC;5.11;0.01;27;;;;;;;;;;;64.6;42.18;124.52;133.56
GOOGL;189.66;- 1.35;-0.71;190.27;Technology Services;Internet Software/Services;182502;2015;www.abc.xyz;"188.31
191.98";"130.66
201.42";2.35T;2350000000000.0;25.34;Feb 3, 2025;;2024-12-08;2024-12-15;69;0.8;0.2;0.0;10.0;2.5862005694400505;240.0;26.542233470420758;210.0;10.724454286618162;185.0;-2.457028366550668;88.25B;15.07%;26.30B;33.58%;2.12;36.56%;29.80%;16.09%;17.64B;21.96%;0.09;13.49%;2025-01-15;08:01:56 UTC;7.27;0.02;27;-1.35;-0.71;-2.38;-1.24;-7.0;-3.56;3.13;1.68;0.23;0.12;47.17;33.1;115.68;156.38
GOOG;191.05;- 1.24;-0.64;191.56;Technology Services;Internet Software/Services;182502;2015;www.abc.xyz;"189.64
193.27";"131.55
202.88";2.33T;2330000000000.0;25.34;Feb 3, 2025;;2024-12-08;2024-12-15;68;0.79;0.21;0.0;7.0;2.5095917299136348;240.0;25.621565035331056;210.0;9.918869405914675;185.0;-3.166710285265643;88.25B;15.07%;26.30B;33.58%;2.12;36.56%;29.80%;16.09%;17.64B;21.96%;0.09;13.49%;2025-01-15;08:01:56 UTC;2.49;0.01;27;-1.24;-0.64;-2.12;-1.1;-7.11;-3.59;2.86;1.52;0.42;0.22;46.97;32.6;117.03;158.11
META;594.25;- 14.08;-2.31;595.51;Technology Services;Internet Software/Services;67317;2004;meta.com;"588.55
605.49";"358.61
638.40";1.53T;1530000000000.0;28.65;Jan 28, 2025;;2024-12-15;2024-12-26;71;0.83;0.14;0.03;10.0;2.204013462347497;811.0;36.47454774926378;660.0;11.06436684896929;475.0;-20.06731173748422;40.59B;18.87%;15.69B;35.44%;6.03;37.58%;38.65%;13.94%;16.47B;18.81%;0.30;15.57%;2025-01-15;08:01:56 UTC;1.38;0.02;27;-14.08;-2.31;-21.61;-3.51;-29.99;-4.8;98.09;19.77;-4.99;-0.83;226.79;61.72;372.11;167.51
TSLA;396.36;- 7.01;-1.74;396.06;Consumer Durables;Motor Vehicles;140473;2003;www.tesla.com;"394.54
422.64";"138.80
488.54";1.29T;1290000000000.0;110.48;Jan 28, 2025;;;;57;0.44;0.32;0.25;9.0;-1.0571228176405292;528.0;33.21223130487435;278.0;-29.86174185084267;116.0;-70.7336764557473;25.18B;7.85%;2.17B;17.07%;0.62;16.95%;8.61%;8.55%;2.74B;222.97%;0.18;19.38%;2025-01-15;08:01:56 UTC;1.55;0.03;27;-7.01;-1.74;1.62;0.41;-66.66;-14.4;143.72;56.89;17.08;4.5;176.45;80.24;362.33;1064.62
AVGO;224.7;- 0.59;-0.26;225.50;Electronic Technology;Semiconductors;37000;1961;www.broadcom.com;"223.10
230.26";"109.02
251.88";1.05T;1050000000000.0;182.12;Feb 26, 2025;1.25;2024-12-22;2024-12-30;44;0.86;0.14;0.0;8.0;0.7244236760124614;240.0;6.809078771695599;200.0;-10.992434356920333;160.0;-28.793947485536265;14.05B;12.55%;4.21B;98.26%;0.90;8.52%;29.92%;21.08%;5.48B;23.25%;1.02;38.39%;2025-01-15;08:01:56 UTC;7.44;0.01;27;-0.59;-0.26;0.39;0.17;-25.3;-10.12;53.28;31.08;-7.28;-3.14;113.2;101.53;193.82;627.68
BRKR;61.26;- 1.69;-2.68;61.50;Health Technology;Medical Specialties;9707;1960;www.bruker.com;"60.56
63.95";"48.07
94.86";9.29B;9290000000.0;29.5;Feb 17, 2025;0.27;2024-12-01;2024-12-15;15;0.6;0.33;0.07;6.0;1.2289552726085542;85.0;38.752856676460986;72.5;18.34802481227555;54.0;-11.8511263467189;864.40M;16.37%;40.90M;53.58%;0.27;55.01%;4.73%;60.11%;5.80M;66.28%;1.34;32.62%;2025-01-15;08:01:56 UTC;1.96;0.08;27;-1.69;-2.68;0.48;0.79;4.08;7.14;-2.15;-3.39;2.45;4.17;-9.66;-13.62;7.63;14.24
WMT;90.79;- 0.74;-0.81;90.85;Retail Trade;Specialty Stores;2100000;1962;www.corporate.walmart.com;"90.56
91.98";"53.44
96.18";729.35B;729350000000.0;37.28;Feb 19, 2025;1.38;2024-12-12;2025-01-05;41;0.9;0.07;0.02;9.0;2.088368763079634;110.0;21.158717920475816;100.0;10.144289018614378;90.0;-0.8701398832470606;169.59B;5.46%;4.58B;910.38%;0.57;913.06%;2.70%;858.04%;372.00M;108.01%;0.70;20.15%;2025-01-15;08:01:56 UTC;2.05;0.01;27;-0.74;-0.81;-2.21;-2.38;-4.08;-4.3;21.18;30.43;0.79;0.88;36.85;68.31;52.47;136.93
LLY;744.91;- 52.57;-6.59;747.20;Health Technology;Pharmaceuticals: Major;43000;1876;www.lilly.com;"729.00
784.23";"612.70
972.53";757.06B;757060000000.0;87.24;Feb 5, 2025;0.78;2025-02-13;2025-03-09;32;0.78;0.19;0.03;7.0;2.585500127532185;1250.0;67.80550670550805;1005.0;34.915627391228476;700.0;-6.028916244915489;11.44B;20.43%;970.30M;1,790.42%;1.07;1,780.56%;8.48%;1,503.66%;2.36B;93.67%;2.19;21.58%;2025-01-15;08:01:56 UTC;12.37;0.04;27;-52.57;-6.59;-54.99;-6.87;-34.09;-4.38;-205.55;-21.63;-33.16;-4.26;110.34;17.39;605.33;433.68
JPM;247.47;+ 3.26;1.33;247.22;Finance;Major Banks;309926;1968;www.jpmorganchase.com;"242.19
247.72";"164.30
254.31";696.71B;696710000000.0;13.77;Jan 14, 2025;2.41;2025-01-05;2025-01-30;25;0.64;0.28;0.08;10.0;0.6243108255546128;276.0;11.528670141835375;250.5;1.2243908352527584;200.0;-19.18212308562654;69.23B;11.37%;12.82B;1.90%;4.37;1.12%;18.52%;11.92%;32.26B;23.26%;2.73;11.35%;2025-01-15;08:01:56 UTC;2.15;0.02;27;3.26;1.33;7.6;3.17;7.89;3.29;37.42;17.81;7.47;3.11;79.48;47.31;109.27;79.07
V;309.09;+ 2.17;0.71;309.39;Commercial Services;Miscellaneous Commercial Services;31600;1958;usa.visa.com;"307.52
310.16";"252.70
321.62";601.88B;601880000000.0;32.01;Jan 29, 2025;0.76;2024-11-11;2024-12-01;43;0.74;0.23;0.02;10.0;1.7109003850011324;375.0;21.323886246724268;326.5;5.6326636254812605;289.0;-6.499724999191167;9.62B;9.60%;5.25B;14.26%;2.62;17.39%;54.57%;1.93%;6.36B;49.28%;0.57;0.39%;2025-01-15;08:01:56 UTC;1.21;0.14;27;2.17;0.71;1.38;0.45;-6.8;-2.15;40.64;15.14;-5.31;-1.69;43.85;16.53;104.39;51.0
MA;509.02;+ 4.11;0.81;509.06;Commercial Services;Miscellaneous Commercial Services;33400;1966;www.mastercard.com;"504.21
509.39";"425.48
537.70";463.42B;463420000000.0;38.18;Jan 29, 2025;0.56;2025-01-09;2025-02-06;38;0.79;0.21;0.0;9.0;1.9053494951082477;618.0;21.409767789084913;572.0;12.372794782130372;491.0;-3.5401359475069705;7.37B;12.62%;3.26B;2.03%;3.53;4.02%;44.28%;9.40%;4.93B;62.06%;2.47;0.04%;2025-01-15;08:01:56 UTC;1.78;0.03;27;4.11;0.81;4.35;0.86;-21.29;-4.01;65.02;14.64;-13.38;-2.56;80.67;18.83;185.36;57.27
ORCL;156.31;+ 2.39;1.55;156.54;Technology Services;Packaged Software;159000;1977;www.oracle.com;"154.35
157.25";"104.97
198.31";437.19B;437190000000.0;38.25;Mar 12, 2025;1.37;2025-01-09;2025-01-22;38;0.58;0.39;0.03;7.0;2.2193468108246437;250.0;59.93858358390378;205.0;31.1496385388011;140.0;-10.434393193013884;14.06B;8.64%;3.15B;25.89%;1.10;23.61%;22.41%;15.88%;- 2.67B;184.53%;6.45;71.93%;2025-01-15;08:01:56 UTC;8.83;0.06;27;2.39;1.55;1.81;1.17;-14.92;-8.71;13.24;9.25;-9.72;-5.85;49.74;46.67;101.18;183.53
XOM;109.72;+ 0.43;0.39;109.72;Energy Minerals;Integrated Oil;62000;1882;www.exxonmobil.com;"107.83
109.76";"95.77
126.34";480.34B;480340000000.0;13.61;Jan 30, 2025;3.68;2024-11-13;2024-12-09;31;0.61;0.35;0.03;6.0;1.8259569814072183;149.0;35.80021873860736;131.5;19.85052861830113;105.0;-4.301859278162595;87.10B;2.81%;8.61B;5.07%;1.93;14.37%;9.88%;2.33%;11.41B;3.31%;0.16;23.31%;2025-01-15;08:01:56 UTC;8.82;0.02;27;0.43;0.39;3.18;2.98;1.25;1.15;-5.49;-4.77;2.41;2.25;12.03;12.31;41.16;60.04
UNH;543.74;+ 2.60;0.48;544.00;Health Services;Managed Health Care;440000;1977;www.unitedhealthgroup.com;"536.55
544.55";"436.38
630.73";500.39B;500390000000.0;35.32;Jan 15, 2025;1.38;2024-12-08;2024-12-16;31;0.9;0.1;0.0;6.0;2.47185198808254;715.0;31.496671203148562;640.0;17.703314083937176;595.0;9.427299812410341;100.82B;10.35%;6.05B;3.66%;6.51;4.33%;6.01%;6.06%;12.95B;113.62%;0.83;10.03%;2025-01-15;08:01:56 UTC;1.83;0.14;27;2.6;0.48;23.05;4.43;45.24;9.08;28.37;5.5;39.23;7.78;24.59;4.74;245.27;82.18
COST;917.23;- 7.47;-0.81;917.75;Retail Trade;Specialty Stores;333000;1983;www.costco.com;"909.92
927.76";"675.96
1,008.25";407.16B;407160000000.0;53.86;Mar 5, 2025;0.49;2024-10-31;2024-11-14;38;0.58;0.37;0.05;9.0;1.1881934738288105;1145.0;24.83237573999978;1000.0;9.023908943231248;755.0;-17.686948747860406;62.15B;6.21%;1.80B;6.96%;4.04;13.03%;2.89%;5.23%;2.00B;3.05%;0.33;6.99%;2025-01-15;08:01:56 UTC;11.01;0.01;27;-7.47;-0.81;-19.71;-2.1;-75.64;-7.62;68.5;8.07;7.42;0.82;235.74;34.59;612.55;201.05
PG;159.74;+ 0.90;0.57;159.81;Consumer Non-Durables;Household/Personal Care;108000;1837;us.pg.com/;"158.31
160.07";"146.28
180.43";376.19B;376190000000.0;27.55;Jan 21, 2025;2.32;2025-01-23;2025-02-17;31;0.58;0.39;0.03;6.0;1.830823838737949;209.0;30.83761111806685;183.0;14.561161888068105;163.0;2.0408163265306065;21.74B;7.64%;3.96B;5.46%;1.61;12.11%;18.21%;11.89%;3.31B;27.05%;0.71;7.47%;2025-01-15;08:01:56 UTC;2.1;0.01;27;0.9;0.57;1.18;0.74;-11.4;-6.66;-4.84;-2.94;-6.24;-3.76;9.95;6.64;33.33;26.37
HD;392.78;+ 3.60;0.93;393.43;Retail Trade;Home Improvement Chains;463100;1978;www.homedepot.com;"389.63
394.20";"323.77
439.37";390.17B;390170000000.0;26.69;Feb 24, 2025;2.35;2024-11-26;2024-12-11;41;0.66;0.27;0.07;8.0;1.6628641987881263;500.0;27.297723916696377;450.0;14.56795152502674;352.0;-10.38240236264575;40.22B;6.65%;3.65B;4.25%;3.67;3.67%;9.07%;10.22%;3.42B;4.15%;10.95;68.20%;2025-01-15;08:01:56 UTC;8.8;0.07;27;3.6;0.93;2.89;0.74;-17.93;-4.37;34.32;9.57;4.32;1.11;34.35;9.58;160.87;69.37
NFLX;828.4;- 11.89;-1.41;829.73;Technology Services;Internet Software/Services;13000;1997;www.netflix.com;"823.52
844.89";"475.26
941.75";359.19B;359190000000.0;47.55;Jan 20, 2025;;;;55;0.58;0.35;0.07;8.0;0.9214437469821344;1100.0;32.786093674553356;825.0;-0.41042974408498034;550.0;-33.60695316272332;9.78B;14.46%;2.36B;40.90%;5.40;44.80%;24.18%;23.10%;2.19B;16.20%;0.81;7.43%;2025-01-15;08:01:56 UTC;2.3;0.05;27;-11.89;-1.41;-9.29;-1.11;-92.68;-10.06;171.95;26.19;-58.33;-6.58;347.16;72.14;488.73;143.88
BAC;45.78;+ 0.72;1.6;45.96;Finance;Major Banks;213000;1904;www.bankofamerica.com;"45.23
45.92";"31.27
48.08";351.26B;351260000000.0;16.64;Jan 15, 2025;2.73;2024-12-05;2024-12-26;24;0.83;0.13;0.04;9.0;1.4517387505460897;57.0;24.508519003931845;50.0;9.217999126256004;42.0;-8.256880733944955;51.73B;14.11%;6.90B;11.61%;0.81;10.31%;13.33%;22.54%;- 2.50B;127.10%;2.73;11.88%;2025-01-15;08:01:56 UTC;3.23;0.01;27;0.72;1.6;0.67;1.49;0.31;0.68;3.89;9.29;1.49;3.36;13.66;42.53;11.07;31.89
CRM;323.54;+ 4.47;1.4;324.48;Technology Services;Packaged Software;72682;1999;www.salesforce.com;"321.50
329.94";"212.00
369.00";305.35B;305350000000.0;52.49;Mar 3, 2025;;2024-12-17;2025-01-08;55;0.76;0.2;0.04;7.0;2.4281473697224447;450.0;39.086357173765215;415.0;28.268529393583474;286.0;-11.602892996229219;9.44B;8.30%;1.53B;24.75%;1.58;26.83%;16.17%;15.19%;1.78B;30.23%;0.21;12.15%;2025-01-15;08:01:56 UTC;1.91;0.12;27;4.47;1.4;5.69;1.79;-33.69;-9.43;70.68;27.95;-7.12;-2.15;54.35;20.19;141.31;77.54
ABBV;175.55;- 1.19;-0.67;175.90;Health Technology;Pharmaceuticals: Major;50000;2011;www.abbvie.com;"174.09
176.78";"153.58
207.32";312.32B;312320000000.0;61.64;Jan 30, 2025;3.87;2025-01-14;2025-02-13;31;0.61;0.39;0.0;5.0;1.7523583024779263;240.0;36.713187126174866;205.0;16.775847336941034;165.0;-6.009683850754777;14.46B;3.83%;1.55B;12.22%;0.88;12.27%;10.73%;15.46%;5.20B;29.33%;11.78;134.60%;2025-01-15;08:01:56 UTC;2.87;0.03;27;-1.19;-0.67;0.38;0.22;;-2.28;7.52;4.48;-3.89;-2.17;14.07;8.71;87.55;99.49
KO;62.04;+ 0.39;0.63;62.06;Consumer Non-Durables;Beverages: Non-Alcoholic;79100;1886;www.coca-colacompany.com;"61.30
62.06";"57.93
73.53";267.25B;267250000000.0;25.77;Feb 10, 2025;3.12;2024-11-28;2024-12-15;26;0.77;0.23;0.0;9.0;2.2210122501611864;85.0;37.008381689232756;75.0;20.88974854932302;65.0;4.771115409413283;11.89B;0.54%;2.85B;7.74%;0.66;7.39%;23.95%;7.25%;- 1.73B;144.15%;1.74;14.33%;2025-01-15;08:01:56 UTC;2.64;0.09;27;0.39;0.63;0.97;1.59;-0.51;-0.82;-1.37;-2.16;0.2;0.32;2.05;3.42;5.1;8.96
TMUS;214.18;+ 0.72;0.34;214.33;Communications;Wireless Telecommunications;67000;1994;www.t-mobile.com;"211.34
214.63";"158.84
248.15";247.72B;247720000000.0;24.32;Jan 28, 2025;0.41;2025-02-27;2025-03-12;32;0.63;0.31;0.06;5.0;1.4465767111775143;265.0;23.727705668129605;250.0;16.724250630310948;190.25;-11.172845270333367;20.16B;4.73%;3.06B;42.81%;2.61;43.27%;15.17%;36.36%;4.18B;45.57%;1.81;2.69%;2025-01-15;08:01:56 UTC;1.96;0.02;27;0.72;0.34;2.88;1.36;-15.29;-6.66;32.43;17.84;-5.35;-2.44;51.1;31.33;132.03;160.72
CVX;156.9;+ 1.55;1.0;156.78;Energy Minerals;Integrated Oil;45600;1906;www.chevron.com;"154.46
156.91";"135.37
167.11";279.18B;279180000000.0;17.1;Jan 30, 2025;4.05;2024-11-17;2024-12-09;28;0.64;0.36;0.0;7.0;1.6117272147864878;195.0;24.282982791586992;174.5;11.217335882727848;154.0;-1.8483110261312976;48.67B;7.02%;4.49B;31.24%;2.48;28.58%;9.22%;26.05%;5.75B;4.57%;0.17;32.98%;2025-01-15;08:01:56 UTC;1.83;0.15;27;1.55;1.0;3.76;2.46;7.54;5.05;-1.14;-0.72;10.19;6.95;13.21;9.19;41.32;35.75
MRK;99.65;- 1.33;-1.32;99.82;Health Technology;Pharmaceuticals: Major;72000;1891;www.merck.com;"99.01
101.49";"94.48
134.63";252.08B;252080000000.0;20.87;Feb 3, 2025;2.72;2024-12-15;2025-01-07;26;0.65;0.35;0.0;8.0;2.345112895132965;155.0;55.54440541896637;130.0;30.456598093326637;100.0;0.35122930255895063;16.71B;4.42%;3.16B;33.47%;1.24;33.34%;18.89%;36.28%;8.51B;24.84%;0.86;1.38%;2025-01-15;08:01:56 UTC;1.84;0.01;27;-1.33;-1.32;0.4;0.4;-0.41;-0.41;-28.47;-22.22;0.48;0.48;-18.84;-15.9;8.68;9.54
WFC;71.19;+ 0.66;0.94;71.52;Finance;Major Banks;226000;1852;www.wellsfargo.com;"70.29
71.46";"46.12
78.13";237.03B;237030000000.0;14.8;Jan 14, 2025;2.64;2024-11-07;2024-11-30;26;0.58;0.38;0.04;7.0;1.1001741817671022;85.0;19.39879196516365;75.0;5.351875263379691;65.0;-8.695041438404267;31.80B;22.94%;5.11B;11.32%;1.42;4.33%;16.08%;27.87%;4.30B;98.52%;1.81;1.56%;2025-01-15;08:01:56 UTC;2.22;0.01;27;0.66;0.94;1.23;1.76;-0.79;-1.1;13.46;23.32;1.0;1.42;24.37;52.05;22.01;44.75
CSCO;59.33;+ 0.57;0.97;59.38;Electronic Technology;Telecommunications Equipment;90400;1984;www.cisco.com;"58.75
59.34";"44.50
60.23";234.03B;234030000000.0;25.3;Feb 11, 2025;3.3;2025-01-02;2025-01-21;26;0.42;0.54;0.04;8.0;1.0351761334906455;72.0;21.35513231080398;62.0;4.500252823192318;56.0;-5.612674869374682;13.84B;8.97%;2.71B;43.74%;0.68;24.10%;19.59%;21.03%;3.44B;9.44%;0.74;282.29%;2025-01-15;08:01:56 UTC;3.0;0.04;27;0.57;0.97;0.59;1.0;0.98;1.68;11.93;25.17;0.23;0.39;8.74;17.28;10.31;21.03
ACN;348.99;- 0.15;-0.04;349.81;Technology Services;Information Technology Services;774000;2009;www.accenture.com;"345.63
352.52";"278.69
387.51";218.38B;218380000000.0;29.27;Mar 19, 2025;1.51;2025-01-15;2025-02-13;29;0.62;0.34;0.03;8.0;1.5312137883606978;450.0;28.94352273704117;390.0;11.751053038769015;330.0;-5.44141665950314;17.69B;7.43%;2.28B;17.94%;3.59;15.97%;12.88%;5.91%;870.28M;71.16%;0.28;141.70%;2025-01-15;08:01:56 UTC;1.53;0.11;27;-0.15;-0.04;-0.8;-0.23;-8.07;-2.26;31.12;9.79;0.17;0.05;-5.57;-1.57;139.79;66.82
NOW;1031.29;+ 15.55;1.53;1,033.90;Technology Services;Packaged Software;22668;2004;www.servicenow.com;"1,020.59
1,037.06";"637.99
1,157.90";212.44B;212440000000.0;160.43;Jan 28, 2025;;;;43;0.81;0.14;0.05;9.0;0.9899735282995087;1300.0;26.055716626749025;1045.0;1.3294029807328722;716.0;-30.572389919421305;2.80B;22.25%;432.00M;78.51%;2.07;76.56%;15.45%;46.03%;469.00M;168.00%;0.24;23.20%;2025-01-15;08:01:56 UTC;2.1;0.01;27;15.55;1.53;6.72;0.66;-98.64;-8.73;263.44;34.31;-23.05;-2.19;303.73;41.75;718.77;229.99
AXP;300.36;+ 3.34;1.12;301.00;Finance;Finance/Rental/Leasing;74600;1850;www.americanexpress.com;"296.73
300.54";"177.81
307.82";211.59B;211590000000.0;22.09;Jan 23, 2025;1.28;2025-01-02;2025-02-09;31;0.35;0.52;0.13;8.0;0.23352776667998365;350.0;16.52683446530829;290.0;-3.44919430017313;230.0;-23.425223065654553;18.77B;9.21%;2.49B;2.34%;3.49;5.78%;13.26%;6.29%;- 2.27B;128.93%;1.85;5.27%;2025-01-15;08:01:56 UTC;1.7;0.07;27;3.34;1.12;7.06;2.41;-3.21;-1.06;56.36;23.1;1.93;0.65;119.39;65.97;168.84;128.38
MCD;281.58;- 2.05;-0.72;281.77;Consumer Services;Restaurants;150000;1955;corporate.mcdonalds.com;"279.38
285.35";"243.53
317.90";201.78B;201780000000.0;24.72;Feb 9, 2025;2.1;2024-12-01;2024-12-15;37;0.57;0.41;0.03;5.0;1.8678258399034025;360.0;27.84998934583423;327.5;16.30797641877975;280.0;-0.561119397684489;6.87B;2.70%;2.25B;2.68%;3.13;1.11%;32.81%;5.24%;1.94B;20.97%;n/a;n/a;2025-01-15;08:01:56 UTC;1.53;0.1;27;-2.05;-0.72;-0.73;-0.26;-16.13;-5.42;30.05;11.95;-10.93;-3.74;-9.51;-3.27;69.6;32.83
PEP;144.95;+ 0.45;0.31;145.10;Consumer Non-Durables;Food: Specialty/Candy;318000;1965;www.pepsico.com;"143.56
145.14";"141.51
183.41";198.87B;198870000000.0;21.36;Feb 3, 2025;2.91;2024-12-05;2025-01-05;25;0.4;0.56;0.04;6.0;1.8141221110727845;198.0;36.59882718178684;183.0;26.25043118316662;148.0;2.1041738530527847;23.32B;0.58%;2.93B;5.24%;2.13;4.89%;12.57%;4.69%;3.76B;18.12%;2.31;2.81%;2025-01-15;08:01:56 UTC;1.79;0.01;27;;;;;;;-18.91;-11.54;-5.26;-3.5;-21.22;-12.77;3.69;2.61
BX;169.32;+ 3.55;2.14;169.95;Finance;Investment Managers;4735;1985;www.blackstone.com;"166.16
170.75";"114.88
200.96";205.37B;205370000000.0;58.21;Jan 29, 2025;2.54;2024-10-27;2024-11-03;26;0.31;0.62;0.08;9.0;0.48470351996220185;230.0;35.83746751712734;169.5;0.10630758327427758;134.0;-20.859910229151897;2.52B;0.46%;780.84M;41.46%;1.02;39.56%;30.97%;42.11%;836.50M;26.79%;1.70;7.57%;2025-01-15;08:01:56 UTC;2.38;0.01;27;3.55;2.14;4.47;2.71;-19.14;-10.16;36.95;27.91;-4.43;-2.55;51.07;43.19;108.56;178.67
IBM;217.75;+ 0.35;0.16;217.78;Technology Services;Packaged Software;305300;1911;www.ibm.com;"214.61
218.13";"162.35
239.35";201.02B;201020000000.0;31.64;Jan 28, 2025;4.05;2024-11-11;2024-12-09;21;0.43;0.38;0.19;10.0;0.1433524684270952;260.0;19.402985074626866;242.0;11.136624569460391;150.0;-31.113662456946038;14.97B;1.46%;- 317.00M;118.49%;- 0.36;119.37%;- 2.12%;118.23%;2.60B;6.49%;2.46;3.01%;2025-01-15;08:01:56 UTC;3.8;0.02;27;0.35;0.16;-2.0;-0.91;-11.58;-5.05;34.87;19.07;-2.19;-1.0;50.79;30.42;79.44;57.44
DIS;108.12;+ 0.04;0.04;108.19;Consumer Services;Movies/Entertainment;233000;1923;www.thewaltdisneycompany.com;"107.61
108.96";"83.91
123.74";195.80B;195800000000.0;39.82;Feb 4, 2025;0.78;2025-06-23;2025-07-22;32;0.69;0.31;0.0;6.0;1.7302959674435812;140.0;29.48575656677765;126.0;16.537180910099885;100.0;-7.510173880873109;22.45B;2.08%;460.00M;2,400.00%;0.25;75.63%;2.05%;64.58%;4.03B;67.39%;0.49;3.66%;2025-01-15;08:01:56 UTC;1.89;0.01;27;0.04;0.04;-0.53;-0.49;-3.99;-3.56;11.25;11.61;-2.7;-2.44;15.07;16.2;-36.21;-25.09
LIN;427.29;+ 5.86;1.39;428.38;Process Industries;Chemicals: Specialty;66323;2017;www.linde.com;"420.72
427.81";"396.07
487.49";203.46B;203460000000.0;32.43;Feb 5, 2025;1.24;2024-12-02;2024-12-16;29;0.69;0.24;0.07;5.0;1.530829179245945;550.0;28.718200753586554;506.05;18.432446347913594;381.0;-10.833391841606407;8.36B;2.46%;1.55B;0.96%;3.22;1.14%;18.55%;3.34%;1.67B;5.92%;0.57;22.79%;2025-01-15;08:01:56 UTC;2.0;0.17;27;5.86;1.39;13.14;3.17;-1.01;-0.24;-10.89;-2.49;13.12;3.17;20.64;5.08;213.2;99.58
TMO;556.99;+ 1.47;0.26;560.00;Health Technology;Medical Specialties;122000;1960;www.thermofisher.com;"551.38
561.40";"493.30
627.88";213.05B;213050000000.0;34.93;Jan 29, 2025;0.26;2024-12-12;2025-01-14;33;0.85;0.15;0.0;8.0;2.4885813030754593;767.0;37.70444711754251;660.0;18.494048367116104;600.0;7.72186215192373;10.60B;0.23%;1.63B;4.96%;4.24;3.97%;15.38%;5.17%;1.89B;9.03%;0.72;7.40%;2025-01-15;08:01:56 UTC;8.28;0.01;27;1.47;0.26;14.68;2.71;26.73;5.04;12.31;2.26;34.42;6.59;14.99;2.77;217.8;64.21
MS;124.62;+ 0.63;0.51;124.65;Finance;Investment Banks/Brokers;80000;1924;www.morganstanley.com;"123.69
125.40";"83.09
136.24";200.77B;200770000000.0;18.94;Jan 15, 2025;3.49;2024-10-30;2024-11-14;26;0.31;0.65;0.04;10.0;0.5354662173005936;142.0;13.946397047022947;131.0;5.119563472957788;104.0;-16.546300754293053;27.41B;11.04%;3.19B;32.39%;1.88;36.69%;11.63%;19.23%;14.89B;243.32%;4.18;8.99%;2025-01-15;08:01:56 UTC;1.74;0.01;27;0.63;0.51;1.17;0.95;-4.41;-3.42;19.36;18.39;-0.16;-0.13;38.65;44.96;67.11;116.69
ABT;113.02;- 0.17;-0.15;113.08;Health Technology;Medical Specialties;114000;1888;www.abbott.com;"112.29
113.81";"99.71
121.64";196.03B;196030000000.0;34.37;Jan 21, 2025;1.89;2025-01-14;2025-02-13;30;0.7;0.3;0.0;9.0;2.042169527517254;149.0;31.835073438329502;131.0;15.908688727658827;117.0;3.521500619359409;10.63B;4.85%;1.64B;14.61%;0.94;14.65%;15.42%;9.30%;2.15B;63.17%;0.38;9.15%;2025-01-15;08:01:56 UTC;2.15;0.01;27;-0.17;-0.15;0.71;0.63;0.4;0.36;10.06;9.77;-0.42;-0.37;-0.74;-0.65;24.02;26.99
ADBE;412.71;+ 4.21;1.03;412.25;Technology Services;Packaged Software;30709;1982;www.adobe.com;"405.07
412.75";"403.75
638.25";179.65B;179650000000.0;33.38;Mar 12, 2025;;;;39;0.67;0.28;0.05;7.0;3.3342637687480314;704.55;70.71309151704587;625.0;51.438055777664715;440.0;6.6123912674759575;5.61B;5.59%;1.68B;6.99%;3.80;n/a;30.02%;2.09%;2.87B;51.29%;0.43;73.82%;2025-01-15;08:01:56 UTC;1.72;0.01;27;4.21;1.03;6.79;1.67;-48.82;-10.58;-153.0;-27.05;-28.29;-6.41;-184.97;-30.95;62.97;18.0
